,id,name,lat,lng,checkinsCount,tipCount,usersCount
80965,50d725cce4b0feaa5049118d,Hugo Boss,51.501641696846654,-0.1613869487625594,11,0,10
80967,4fc11d8ee4b099ce1704ce85,Of the Hook,51.5019,-0.1623,1,0,1
80968,4cff6f21f1605481dedb98ea,Dolce & Gabbana,51.50165063263906,-0.16154104526421117,22,0,15
80997,4f7350f8e4b030aac70d22ab,Wellington Court,51.5021635277042,-0.1625732170029305,55,0,9
80999,4cb7350c56fca1cd67e75b18,Knightsbridge Nails & Beauty,51.501647,-0.162836,107,0,40
81026,4f4d699ae4b088c4ae3925d9,peninsula excelsior hotel,51.50215530395508,-0.1634790003299713,0,0,0
81040,4b954829f964a520f09934e3,Household Cavalry Mounted Regiment (HCMR),51.5022983261674,-0.1649939528947834,218,0,88
81086,511a4b34e4b0502d70a36ed5,Hydeaway Sports Bar,51.5023511324451,-0.1653559133443342,3,0,3
81090,4bf925ddabdaef3ba4d0a184,The Serpentine,51.505223240223344,-0.16741275787353516,3772,36,2991
81102,4fab7704e4b0eeffb5d212b7,Bus Stop U Phillimore Gardens East,51.50195277408451,-0.16649553426357735,5,0,2
81105,505a5cabe4b066ff88549fc9,Officers Mess,51.502238,-0.167531,1,0,1
81107,50eeb820e4b064e722e3c944,knightsbridge barracks bus stop,51.50191744972234,-0.16604118823886965,6,0,6
81111,4d540580a64560fced61b53a,Rotten Row,51.503346657728606,-0.16767024993896484,87,1,41
81114,4bfd3e3d4cf820a1da21ecf4,Holland & Barrett,51.499766912405946,-0.16445159912109375,75,0,32
81115,5251112211d215a384255631,Royal Parks Foundation Half Marathon,51.503199169778895,-0.1661998985512004,60,2,58
81119,4cbc0debbac9370410b0f57c,The Church. TQ's Office,51.5020155,-0.165071,1,1,1
81121,4c30b6183896e21eb8e8e590,"Diana, Princess of Wales Memorial Fountain",51.50456210431835,-0.1714789867401123,2584,9,2041
81127,4b892b07f964a520922032e3,Lido Cafe,51.504822618757885,-0.16962071656929548,1257,30,1082
81138,4fcceac1e4b07d10e1b5cc70,Serpentine Swimming Club,51.50475625305392,-0.16937930755490577,227,4,93
81146,4fa95133e4b09ce165945802,Isis,51.50516320781466,-0.17157676009352707,102,0,80
81149,4c7fd24600c68cfa61f85536,Charity Softball League Final,51.503377680064084,-0.16781391488287195,2,0,1
81205,51640675e4b0adc5d055b29f,Double Decker Bus,51.502951457354406,-0.17210793556816142,19,0,18
81208,4f32cbe3e4b09c2f10ef582e,British Military Fitness (BMF),51.50488471834675,-0.17268373829461725,229,0,33
81238,504b44bce4b0d44959a33844,Royal Netherlands Embassy,51.502920449073734,-0.1716835029508937,7,0,7
81267,4b7454baf964a520b4d52de3,Iran protest,51.502321,-0.172929,5,0,5
81273,4ac518d3f964a52057a720e3,Serpentine Gallery,51.50453643907013,-0.17480409146757364,2572,25,2067
81299,4b9b9786f964a520051236e3,Pavilion Cafe,51.50244028129379,-0.1738800135850905,20,0,16
81323,52d6bd39498ec7f9b432d3c1,"The Diana, Princess of Wales Memorial Walk",51.50306159666222,-0.17687289677915055,4,0,4
81342,4f8009a4e4b042dc205c7995,Coalbrookdale Gate,51.502279,-0.174984,2,0,2
81359,4e883f7630f80da7d099d563,The Coronation of Princess Rapunzel,51.501740299500845,-0.17497990197116978,53,0,26
81407,4f90833ae4b0eb146b640cc4,Koffman,51.50206531799562,-0.17728029618426286,7,0,7
81417,50733025e4b02881bb2bc3bf,Majed almuhandes concert,51.501823870731954,-0.177433904406891,1,0,1
81418,4fb52f39e4b017e6a3bb4e72,Bus Stop RL,51.501631,-0.176618,1,0,1
81455,5007ef4fe4b0fa0125d013ec,Sochi Park,51.5022591702886,-0.1787586443391372,81,0,50
81473,500e8510011c0bfe671aa77b,Russian rocks by Baltika 7,51.50246510475389,-0.17925739288330078,6,2,2
81489,5017eb63e4b0a3461e4fbb90,MegaFon.Sochi.Park,51.5022087097168,-0.17979443073272705,6,0,5
81507,4df794e845dd222116c9e49a,Art & Antiques Fair in Kennsington Gardens,51.501997607620325,-0.17938613891601562,24,0,14
81522,5020d659e4b06890fc7a649e,Sochi.Ru,51.502181,-0.180876,1,0,1
81529,5200fa43498e04bd5c298c68,Crussh,51.502351,-0.181122,2,0,2
81591,4de3a3e345dd180ae56210b6,Feeding The Cyrils,51.50225787673332,-0.18330876907310506,5,0,4
81624,5022aa7fe4b058f3546a0e1f,الهايد بارك لندن,51.50210050596813,-0.18449477545158607,13,0,7
81652,4e6122857d8b85408914685c,พระบรมรูป ร่ชกาลที่ 5,51.502297,-0.185111,2,0,2
81672,4b8d8dc2f964a520c10033e3,Lister Hospital Bus Stop,51.502247,-0.185804,1,0,1
